A	E	BP6c_1	BP6c_2	BP60_1	BP60_2	BP8c_1	BPc0_1	BPc0_2	BP6c_1_10	BP6c_2_10	BP60_1_10	BP60_2_10	BPc0_1_10	BPc0_2_10	BP6c_1_20	BP6c_2_20	BP60_1_20	BP60_2_20	BPc0_1_20	BPc0_2_20
360	0	-61	-64	-84	-49	-62	-68	-73	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
350	0	-63	-64	-77	-53	-64	-68	-74	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
340	0	-66	-66	-68	-65	-80	-70	-69	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
330	0	-70	-69	-64	-61	-77	-71	-75	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
320	0	-75	-79	-66	-69	-68	-75	-72	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
310	0	-71	-80	-75	-79	-73	-77	-81	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
300	0	-77	-70	-72	-73	-77	-78	-77	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
290	0	-77	-70	-69	-70	-74	-88	-71	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
280	0	-75	-77	-71	-78	-73	-80	-73	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
270	0	-72	-80	-74	-66	-78	-71	-75	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
260	0	-72	-80	-68	-71	-70	-72	-71	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
250	0	-68	-83	-68	-64	-66	-71	-73	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
240	0	-66	-72	-72	-64	-64	-71	-70	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
230	0	-68	-69	-67	-63	-63	-73	-71	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
220	0	-68	-66	-62	-64	-64	-72	-72	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
210	0	-69	-66	-62	-65	-62	-70	-66	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
200	0	-68	-65	-63	-63	-65	-71	-64	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
190	0	-66	-64	-63	-62	-69	-72	-65	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
180	0	-65	-65	-63	-61	-78	-74	-67	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
170	0	-65	-65	-62	-61	-75	-72	-68	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
160	0	-65	-63	-62	-61	-67	-71	-68	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
150	0	-63	-65	-59	-60	-75	-73	-67	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
140	0	-62	-64	-59	-59	-71	-75	-67	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
130	0	-64	-65	-61	-57	-69	-79	-65	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
120	0	-66	-73	-61	-56	-66	-80	-64	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
110	0	-68	-74	-62	-57	-64	-76	-64	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
100	0	-67	-74	-63	-58	-64	-73	-64	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
90	0	-66	-80	-63	-59	-71	-82	-66	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
80	0	-63	-73	-63	-61	-85	-77	-68	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
70	0	-62	-69	-64	-60	-73	-73	-72	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
60	0	-66	-65	-66	-61	-71	-72	-76	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
50	0	-69	-69	-65	-60	-76	-71	-76	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
40	0	-68	-65	-73	-59	-71	-72	-71	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
30	0	-75	-63	-84	-57	-71	-71	-70	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
20	0	-73	-61	-72	-55	-72	-72	-74	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
10	0	-65	-62	-70	-50	-73	-75	-80	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
0	0	-64	-64	-69	-49	-76	-74	-85	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92
0	0	-92	-92	-92	-92	-92	-92	-92	-63	-66	-63	-48	-88	-80	-92	-92	-92	-92	-92	-92
10	0	-92	-92	-92	-92	-92	-92	-92	-66	-65	-63	-49	-72	-77	-92	-92	-92	-92	-92	-92
20	0	-92	-92	-92	-92	-92	-92	-92	-65	-69	-65	-57	-72	-77	-92	-92	-92	-92	-92	-92
30	0	-92	-92	-92	-92	-92	-92	-92	-65	-68	-64	-59	-71	-79	-92	-92	-92	-92	-92	-92
40	0	-92	-92	-92	-92	-92	-92	-92	-64	-68	-65	-58	-70	-76	-92	-92	-92	-92	-92	-92
50	0	-92	-92	-92	-92	-92	-92	-92	-66	-65	-62	-60	-73	-73	-92	-92	-92	-92	-92	-92
60	0	-92	-92	-92	-92	-92	-92	-92	-66	-65	-64	-60	-77	-75	-92	-92	-92	-92	-92	-92
70	0	-92	-92	-92	-92	-92	-92	-92	-63	-66	-64	-60	-80	-67	-92	-92	-92	-92	-92	-92
80	0	-92	-92	-92	-92	-92	-92	-92	-62	-66	-63	-60	-76	-66	-92	-92	-92	-92	-92	-92
90	0	-92	-92	-92	-92	-92	-92	-92	-60	-66	-61	-59	-74	-67	-92	-92	-92	-92	-92	-92
100	0	-92	-92	-92	-92	-92	-92	-92	-61	-67	-62	-58	-75	-64	-92	-92	-92	-92	-92	-92
110	0	-92	-92	-92	-92	-92	-92	-92	-61	-67	-61	-59	-76	-68	-92	-92	-92	-92	-92	-92
120	0	-92	-92	-92	-92	-92	-92	-92	-63	-71	-60	-59	-71	-67	-92	-92	-92	-92	-92	-92
130	0	-92	-92	-92	-92	-92	-92	-92	-64	-75	-60	-59	-73	-65	-92	-92	-92	-92	-92	-92
140	0	-92	-92	-92	-92	-92	-92	-92	-64	-77	-61	-59	-75	-64	-92	-92	-92	-92	-92	-92
150	0	-92	-92	-92	-92	-92	-92	-92	-66	-72	-59	-60	-72	-64	-92	-92	-92	-92	-92	-92
160	0	-92	-92	-92	-92	-92	-92	-92	-64	-69	-60	-59	-73	-64	-92	-92	-92	-92	-92	-92
170	0	-92	-92	-92	-92	-92	-92	-92	-64	-73	-59	-59	-75	-66	-92	-92	-92	-92	-92	-92
180	0	-92	-92	-92	-92	-92	-92	-92	-63	-73	-58	-59	-72	-66	-92	-92	-92	-92	-92	-92
190	0	-92	-92	-92	-92	-92	-92	-92	-65	-74	-61	-60	-78	-65	-92	-92	-92	-92	-92	-92
200	0	-92	-92	-92	-92	-92	-92	-92	-66	-76	-62	-60	-72	-64	-92	-92	-92	-92	-92	-92
210	0	-92	-92	-92	-92	-92	-92	-92	-68	-75	-62	-63	-71	-65	-92	-92	-92	-92	-92	-92
220	0	-92	-92	-92	-92	-92	-92	-92	-68	-73	-62	-62	-75	-66	-92	-92	-92	-92	-92	-92
230	0	-92	-92	-92	-92	-92	-92	-92	-84	-77	-64	-64	-72	-69	-92	-92	-92	-92	-92	-92
240	0	-92	-92	-92	-92	-92	-92	-92	-72	-72	-66	-65	-77	-71	-92	-92	-92	-92	-92	-92
250	0	-92	-92	-92	-92	-92	-92	-92	-89	-70	-66	-67	-78	-74	-92	-92	-92	-92	-92	-92
260	0	-92	-92	-92	-92	-92	-92	-92	-71	-70	-73	-67	-78	-74	-92	-92	-92	-92	-92	-92
270	0	-92	-92	-92	-92	-92	-92	-92	-72	-74	-66	-72	-78	-73	-92	-92	-92	-92	-92	-92
280	0	-92	-92	-92	-92	-92	-92	-92	-72	-73	-68	-68	-76	-76	-92	-92	-92	-92	-92	-92
290	0	-92	-92	-92	-92	-92	-92	-92	-68	-67	-70	-68	-73	-86	-92	-92	-92	-92	-92	-92
300	0	-92	-92	-92	-92	-92	-92	-92	-77	-66	-89	-72	-71	-77	-92	-92	-92	-92	-92	-92
310	0	-92	-92	-92	-92	-92	-92	-92	-75	-65	-67	-76	-67	-77	-92	-92	-92	-92	-92	-92
320	0	-92	-92	-92	-92	-92	-92	-92	-69	-69	-67	-78	-67	-78	-92	-92	-92	-92	-92	-92
330	0	-92	-92	-92	-92	-92	-92	-92	-70	-75	-69	-68	-76	-81	-92	-92	-92	-92	-92	-92
340	0	-92	-92	-92	-92	-92	-92	-92	-67	-68	-68	-69	-77	-84	-92	-92	-92	-92	-92	-92
350	0	-92	-92	-92	-92	-92	-92	-92	-65	-64	-66	-52	-69	-75	-92	-92	-92	-92	-92	-92
360	0	-92	-92	-92	-92	-92	-92	-92	-66	-65	-64	-48	-71	-72	-92	-92	-92	-92	-92	-92
0	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-68	-71	-54	-55	-68	-74
10	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-72	-73	-55	-56	-72	-73
20	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-70	-75	-62	-61	-75	-70
30	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-67	-78	-61	-60	-70	-73
40	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-66	-79	-62	-60	-70	-74
50	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-64	-83	-63	-64	-72	-71
60	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-66	-77	-65	-61	-74	-68
70	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-67	-73	-63	-60	-74	-66
80	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-69	-73	-63	-60	-72	-66
90	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-66	-70	-61	-60	-70	-66
100	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-64	-71	-61	-59	-72	-65
110	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-63	-72	-61	-59	-70	-66
120	0	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-92	-65	-72	-60	-60	-70	-64
