input_file,angle_deg,trial,stat,channel,sample_index,rssi
deg-0-1_stat-3_rssi.txt,0,1,3,a,0,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,0,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,1,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,1,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,2,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,2,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,3,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,3,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,4,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,4,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,5,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,5,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,6,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,6,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,7,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,7,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,8,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,8,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,9,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,9,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,10,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,10,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,11,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,11,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,12,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,12,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,13,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,13,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,14,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,14,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,15,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,15,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,16,52.0
deg-0-1_stat-3_rssi.txt,0,1,3,b,16,69.0
deg-0-1_stat-3_rssi.txt,0,1,3,a,17,52.0
