distance_m,tx_power_dbm,lens,rssi_dbm,used_for_fit,source
3,24,with_ll,-29,1,Fig.10(b) RSS-distance measurement table
3,24,without_ll,-39,1,Fig.10(b) RSS-distance measurement table
3,1,with_ll,-48,1,Fig.10(b) RSS-distance measurement table
3,1,without_ll,-58,1,Fig.10(b) RSS-distance measurement table
6,24,with_ll,-35,1,Fig.10(b) RSS-distance measurement table
6,24,without_ll,-44,1,Fig.10(b) RSS-distance measurement table
6,1,with_ll,-54,1,Fig.10(b) RSS-distance measurement table
6,1,without_ll,-63,1,Fig.10(b) RSS-distance measurement table
9,24,with_ll,-40,1,Fig.10(b) RSS-distance measurement table
9,24,without_ll,-48,1,Fig.10(b) RSS-distance measurement table
9,1,with_ll,-58,1,Fig.10(b) RSS-distance measurement table
9,1,without_ll,-66,1,Fig.10(b) RSS-distance measurement table
12,24,with_ll,-41,1,Fig.10(b) RSS-distance measurement table
12,24,without_ll,-49,1,Fig.10(b) RSS-distance measurement table
12,1,with_ll,-60,1,Fig.10(b) RSS-distance measurement table
12,1,without_ll,-68,1,Fig.10(b) RSS-distance measurement table
24,24,with_ll,-44,1,Fig.10(b) RSS-distance measurement table
24,24,without_ll,-55,1,Fig.10(b) RSS-distance measurement table
24,1,with_ll,-63,1,Fig.10(b) RSS-distance measurement table
24,1,without_ll,-73,1,Fig.10(b) RSS-distance measurement table
48,24,with_ll,-48,1,Fig.10(b) RSS-distance measurement table
48,24,without_ll,-56,1,Fig.10(b) RSS-distance measurement table
48,1,with_ll,-67,1,Fig.10(b) RSS-distance measurement table
48,1,without_ll,-76,1,Fig.10(b) RSS-distance measurement table
96,24,with_ll,-53,1,Fig.10(b) RSS-distance measurement table
96,24,without_ll,-62,1,Fig.10(b) RSS-distance measurement table
96,1,with_ll,-75,1,Fig.10(b) RSS-distance measurement table
96,1,without_ll,-83,1,Fig.10(b) RSS-distance measurement table
192,24,with_ll,-60,1,Fig.10(b) RSS-distance measurement table
192,24,without_ll,-72,1,Fig.10(b) RSS-distance measurement table
192,1,with_ll,-82,1,Fig.10(b) RSS-distance measurement table
192,1,without_ll,-89,1,Fig.10(b) RSS-distance measurement table
384,24,with_ll,-68,1,Fig.10(b) RSS-distance measurement table
384,24,without_ll,-76,1,Fig.10(b) RSS-distance measurement table
384,1,with_ll,-87,1,Fig.10(b) RSS-distance measurement table
384,1,without_ll,-127,0,Fig.10(b) RSS-distance measurement table; signal lost
