block_index,mac,rssi_header_raw,rssi_val_raw,rssi_val,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,azimuth,elevation,euler_ts_ms,pitch,roll,yaw,gps_ts_ms,gps_lon_raw,gps_lat_raw,gps_alt_raw,quat_w,quat_x,quat_y,quat_z,vel_ts_ms,vel_x,vel_y,vel_z,time_consumed,lon_deg,lat_deg,alt_m,lon_deg_diff,lat_deg_diff,alt_m_diff,lat_m_diff,lon_m_diff,distance_from_takeoff,distance,vel_abs,earth_azimuth,device_name,phone_rel_azimuth,phone_rel_elevation,phone_drone_lat_m_diff,phone_drone_lon_m_diff,phone_drone_alt_m_diff,phone_drone_distance,score,collection_id,scene,placement
198,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-86	-88	-78	-76	-83	-79	-83	-88	-70	-74,"[-86, -88, -78, -76, -83, -79, -83, -88, -70, -74]",-86,-88,-78,-76,-83,-79,-83,-88,-70,-74,348.0,0.0,300909,-1.670324,-2.999872,-159.478605,300709,1141276288,222796045,117879,0.177773,-0.019001,0.023155,-0.983616,300709,-0.409793,-0.125767,0.052519,0.0533521175384521,114.1276288,22.2796045,117.879,0.0002817000000021,0.000517600000002,19.494,57.45360000022259,28.93432689215596,67.21701764945925,72.55234514575291,0.4318632729221136,212.521395,IPAD,202.53906584517293,15.5862556117264,-64.54650000029716,-26.78761071577857,-19.494,72.55234514575291,0.9486450067284676,125m1-real_time_20240829_153805,Scene-P,
199,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-92	-92	-92	-92	-92	-92	-92	-86	-74	-86,"[-92, -92, -92, -92, -92, -92, -92, -86, -74, -86]",-92,-92,-92,-92,-92,-92,-92,-86,-74,-86,1.0,30.0,302109,-3.38799,-2.897183,-159.698102,301909,1141276270,222796003,117891,0.175474,-0.033542,0.01966,-0.983716,301909,-0.152272,0.044747,0.054766,0.0484035015106201,114.127627,22.2796003,117.891,0.0002799000000095,0.0005133999999991,19.506,56.9873999999011,28.749443878460504,66.74262744355723,56.06353475191889,0.1678939270759964,199.301898,IP15,201.91606814926183,20.360554455580587,-48.76230000000348,-19.618205615939445,-19.506,56.06353475191889,0.9850360444515296,125m1-real_time_20240829_153805,Scene-P,
201,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-92	-92	-92	-92	-92	-92	-92	-92	-76	-86,"[-92, -92, -92, -92, -92, -92, -92, -92, -76, -86]",-92,-92,-92,-92,-92,-92,-92,-92,-76,-86,1.0,29.0,304109,-4.262132,-4.112771,-159.790986,304109,1141276268,222795986,117979,0.173997,-0.042876,0.028776,-0.983391,304109,0.0159,0.043426,0.019998,0.0642051696777343,114.1276268,22.2795986,117.979,0.0002797000000072,0.0005117000000005,19.593999999999998,56.79870000006204,28.72890157374477,66.59855060983656,55.92305303035642,0.0503840002381708,199.209014,IP15,201.9722657492138,20.510210066016693,-48.57360000016442,-19.597663311223712,-19.593999999999998,55.92305303035642,0.9880896994166982,125m1-real_time_20240829_153805,Scene-P,
203,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-89	-85	-76	-77	-82	-75	-84	-89	-72	-75,"[-89, -85, -76, -77, -82, -75, -84, -89, -72, -75]",-89,-85,-76,-77,-82,-75,-84,-89,-72,-75,348.0,0.0,306309,-4.703585,-3.096471,-159.477922,306309,1141276270,222795986,117934,0.176928,-0.045171,0.019251,-0.982998,306309,-0.004319,0.059574,0.018205,0.0438923835754394,114.127627,22.2795986,117.934,0.0002799000000095,0.0005117000000005,19.548999999999992,56.79870000006204,28.749444227951944,66.59419093369306,71.91665378313627,0.0624430721697771,212.522078,IPAD,202.60551965895692,15.773105478789809,-63.891600000136606,-26.602728051574548,-19.548999999999992,71.91665378313627,0.9479678636856412,125m1-real_time_20240829_153805,Scene-P,
204,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-92	-92	-92	-92	-92	-92	-92	-92	-76	-84,"[-92, -92, -92, -92, -92, -92, -92, -92, -76, -84]",-92,-92,-92,-92,-92,-92,-92,-92,-76,-84,1.0,29.0,307309,-4.890777,-3.890127,-159.620628,307309,1141276271,222795985,117918,0.17532,-0.047968,0.025825,-0.983003,307309,-0.009889,0.006637,0.012033,0.0651330947875976,114.1276271,22.2795985,117.918,0.0002800000000036,0.0005115999999993,19.533,56.787599999932326,28.759715574891374,66.58446397397041,55.90287664204416,0.0169303035708164,199.379372,IP15,202.00806675599583,20.451205940225247,-48.5625000000347,-19.628477312370315,-19.533,55.90287664204416,0.9880272969963052,125m1-real_time_20240829_153805,Scene-P,
206,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-92	-92	-92	-92	-92	-92	-92	-92	-76	-85,"[-92, -92, -92, -92, -92, -92, -92, -92, -76, -85]",-92,-92,-92,-92,-92,-92,-92,-92,-76,-85,1.0,29.0,309509,-4.446368,-3.741686,-159.623839,309509,1141276268,222795980,117888,0.175507,-0.04393,0.025243,-0.983173,309509,-0.021637,0.021968,-0.005175,0.0436768531799316,114.1276268,22.279598,117.888,0.0002797000000072,0.0005111000000006,19.503,56.73210000007245,28.728901697006545,66.5150206504853,55.83336341389735,0.0312655308286937,199.376161,IP15,201.9995565581814,20.44495078867942,-48.50700000017483,-19.59766343448549,-19.503,55.83336341389735,0.9880145000422657,125m1-real_time_20240829_153805,Scene-P,
210,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-92	-92	-92	-92	-92	-92	-92	-92	-78	-88,"[-92, -92, -92, -92, -92, -92, -92, -92, -78, -88]",-92,-92,-92,-92,-92,-92,-92,-92,-78,-88,1.0,29.0,313909,-4.680274,-1.009721,-160.194816,313909,1141276250,222795871,117931,0.17157,-0.041733,0.001647,-0.984286,313909,-1.084362,-0.303034,0.008985,0.046628713607788,114.127625,22.2795871,117.931,0.0002779000000003,0.0005002000000011,19.545999999999992,55.52220000013008,28.544020034652775,65.41805476008213,54.73497858375756,1.1259446178320671,198.805184,IP15,202.3153739343512,20.92235947964005,-47.29710000023246,-19.412781772131723,-19.545999999999992,54.73497858375756,0.9885459058898236,125m1-real_time_20240829_153805,Scene-P,
213,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-92	-92	-92	-92	-92	-92	-92	-92	-77	-84,"[-92, -92, -92, -92, -92, -92, -92, -92, -77, -84]",-92,-92,-92,-92,-92,-92,-92,-92,-77,-84,1.0,29.0,317109,-3.594557,-2.307256,-160.091687,317109,1141276137,222795591,117971,0.17222,-0.034362,0.014395,-0.984354,317109,-0.976244,-0.38808,-0.006879,0.0423316955566406,114.1276137,22.2795591,117.971,0.0002666000000033,0.0004722000000008,19.586,52.414200000090005,27.38336547316751,62.295332588296674,51.66650851896829,1.0505740119463265,198.908313,IP15,202.4428725970756,22.277018905594588,-44.18910000019238,-18.25212721064645,-19.586,51.66650851896829,0.991584242403966,125m1-real_time_20240829_153805,Scene-P,
215,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-92	-92	-92	-92	-92	-92	-92	-92	-77	-83,"[-92, -92, -92, -92, -92, -92, -92, -92, -77, -83]",-92,-92,-92,-92,-92,-92,-92,-92,-77,-83,1.0,29.0,319309,-3.777244,-2.534395,-160.515053,319309,1141276054,222795404,117925,0.16847,-0.036213,0.016204,-0.984908,319309,-0.888806,-0.313293,0.017516,0.0441505908966064,114.1276054,22.2795404,117.925,0.0002582999999987,0.0004534999999989,19.539999999999992,50.3384999998886,26.530848639979727,60.16362781445529,49.57919423353517,0.9425685225706404,198.484947,IP15,202.44850053925063,23.21091084629264,-42.113399999990975,-17.39961037745867,-19.539999999999992,49.57919423353517,0.9929773556418474,125m1-real_time_20240829_153805,Scene-P,
217,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-92	-92	-92	-92	-92	-92	-92	-92	-80	-84,"[-92, -92, -92, -92, -92, -92, -92, -92, -80, -84]",-92,-92,-92,-92,-92,-92,-92,-92,-80,-84,2.0,29.0,321509,-5.672464,-2.169431,-160.115826,321309,1141275988,222795235,117840,0.171589,-0.051991,0.010076,-0.983744,321309,-0.934019,-0.286632,-0.016366,0.0442698001861572,114.1275988,22.2795235,117.84,0.0002517000000068,0.0004366000000004,19.455,48.46260000005032,25.852943902074472,58.2708789376708,47.719690597888,0.977147502550664,197.884174,IP15,202.5665570398047,24.06001610329476,-40.23750000015269,-16.721705639553413,-19.455,47.719690597888,0.9936200386110006,125m1-real_time_20240829_153805,Scene-P,
