block_index,mac,rssi_header_raw,rssi_val_raw,rssi_val,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,azimuth,elevation,euler_ts_ms,pitch,roll,yaw,gps_ts_ms,gps_lon_raw,gps_lat_raw,gps_alt_raw,quat_w,quat_x,quat_y,quat_z,vel_ts_ms,vel_x,vel_y,vel_z,time_consumed,lon_deg,lat_deg,alt_m,lon_deg_diff,lat_deg_diff,alt_m_diff,lat_m_diff,lon_m_diff,distance_from_takeoff,distance,vel_abs,earth_azimuth,device_name,score
0,RMN10_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-91	-95	-86	-93	-94	-91	-127	-127	-127	-127,"[-91, -95, -86, -93, -94, -91, -127, -127, -127, -127]",-91,-95,-86,-93,-94,-91,-127,-127,-127,-127,240.0,30.0,89200,-1.449949,-0.933692,110.461495,89000,1141274417,222790459,94856,0.570351,0.005746,-0.013907,0.821263,89000,-0.005759,-0.001805,0.003473,0.913945198059082,114.1274417,22.2790459,94.856,0.0,0.0,0.0,0.0,0.0,0.0,,0.006963177076593701,230.461495,RMN10,
1,HONR_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-92	-93	-127	-127	-127	-127	-127	-127,"[-127, -127, -92, -93, -127, -127, -127, -127, -127, -127]",-127,-127,-92,-93,-127,-127,-127,-127,-127,-127,239.0,30.0,89200,-1.449949,-0.933692,110.461495,89200,1141274417,222790458,94849,0.570351,0.005746,-0.013907,0.821263,89200,-0.005769,-0.001751,0.003504,0.05107307434082031,114.1274417,22.2790458,94.849,0.0,-1.0000000116860974e-07,-0.006999999999990791,-0.011100000129715681,0.0,0.013122880891007098,,0.0069731899443511505,231.461495,HONR,
2,RMN5_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-94	-91	-127	-127	-127	-127	-127	-127	-127	-127,"[-94, -91, -127, -127, -127, -127, -127, -127, -127, -127]",-94,-91,-127,-127,-127,-127,-127,-127,-127,-127,180.0,90.0,89200,-1.449949,-0.933692,110.461495,89200,1141274417,222790458,94849,0.570351,0.005746,-0.013907,0.821263,89200,-0.005769,-0.001751,0.003504,0.03824114799499512,114.1274417,22.2790458,94.849,0.0,-1.0000000116860974e-07,-0.006999999999990791,-0.011100000129715681,0.0,0.013122880891007098,,0.0069731899443511505,290.461495,RMN5,
3,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-83	-90	-72	-77	-75	-77	-85	-84	-77	-77,"[-83, -90, -72, -77, -75, -77, -85, -84, -77, -77]",-83,-90,-72,-77,-75,-77,-85,-84,-77,-77,240.0,28.0,89200,-1.449949,-0.933692,110.461495,89200,1141274417,222790458,94849,0.570351,0.005746,-0.013907,0.821263,89200,-0.005769,-0.001751,0.003504,0.046555519104003906,114.1274417,22.2790458,94.849,0.0,-1.0000000116860974e-07,-0.006999999999990791,-0.011100000129715681,0.0,0.013122880891007098,,0.0069731899443511505,230.461495,IP15,
4,OPPO_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-90	-94	-88	-84	-127	-127	-84	-90,"[-127, -127, -90, -94, -88, -84, -127, -127, -84, -90]",-127,-127,-90,-94,-88,-84,-127,-127,-84,-90,179.0,30.0,89400,-1.448895,-0.934645,110.457704,89200,1141274417,222790458,94849,0.570378,0.005733,-0.013909,0.821244,89200,-0.005769,-0.001751,0.003504,0.047449350357055664,114.1274417,22.2790458,94.849,0.0,-1.0000000116860974e-07,-0.006999999999990791,-0.011100000129715681,0.0,0.013122880891007098,,0.0069731899443511505,291.45770400000004,OPPO,
5,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-82	-89	-71	-75	-74	-77	-88	-86	-79	-76,"[-82, -89, -71, -75, -74, -77, -88, -86, -79, -76]",-82,-89,-71,-75,-74,-77,-88,-86,-79,-76,239.0,28.0,89400,-1.448895,-0.934645,110.457704,89400,1141274416,222790458,94844,0.570378,0.005733,-0.013909,0.821244,89400,-0.006636,-0.001804,0.00342,0.04725289344787598,114.1274416,22.2790458,94.844,-1.000000082740371e-07,-1.0000000116860974e-07,-0.012000000000000455,-0.011100000129715681,-0.010271368435431215,0.019305724861192645,,0.007680319785008955,231.457704,IP15,
6,OPPO_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-127	-127	-85	-89	-84	-80	-127	-127	-82	-88,"[-127, -127, -85, -89, -84, -80, -127, -127, -82, -88]",-127,-127,-85,-89,-84,-80,-127,-127,-82,-88,180.0,30.0,89400,-1.448895,-0.934645,110.457704,89400,1141274416,222790458,94844,0.570378,0.005733,-0.013909,0.821244,89400,-0.006636,-0.001804,0.00342,0.04843759536743164,114.1274416,22.2790458,94.844,-1.000000082740371e-07,-1.0000000116860974e-07,-0.012000000000000455,-0.011100000129715681,-0.010271368435431215,0.019305724861192645,,0.007680319785008955,290.45770400000004,OPPO,
7,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-83	-89	-72	-76	-75	-77	-86	-84	-76	-77,"[-83, -89, -72, -76, -75, -77, -86, -84, -76, -77]",-83,-89,-72,-76,-75,-77,-86,-84,-76,-77,240.0,28.0,89600,-1.450539,-0.931754,110.461372,89600,1141274415,222790458,94852,0.570352,0.00576,-0.013896,0.821263,89600,-0.005758,-0.001466,0.003487,0.04934835433959961,114.1274415,22.2790458,94.852,-2.0000000233721948e-07,-1.0000000116860974e-07,-0.003999999999990678,-0.011100000129715681,-0.020542735411213302,0.023689955277600896,,0.00688933153506202,230.46137199999998,IP15,
8,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-83	-89	-73	-78	-74	-78	-87	-85	-78	-76,"[-83, -89, -73, -78, -74, -78, -87, -85, -78, -76]",-83,-89,-73,-78,-74,-78,-87,-85,-78,-76,239.0,28.0,89800,-1.450981,-0.930335,110.458503,89800,1141274414,222790458,94852,0.570372,0.00577,-0.013889,0.821248,89800,-0.006235,-0.001426,0.003358,0.04735445976257324,114.1274414,22.2790458,94.852,-3.000000106112566e-07,-1.0000000116860974e-07,-0.003999999999990678,-0.011100000129715681,-0.030814103846644517,0.03299574213063568,,0.0072239092602274565,231.458503,IP15,
9,IP15_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-82	-90	-73	-77	-75	-80	-87	-84	-77	-77,"[-82, -90, -73, -77, -75, -80, -87, -84, -77, -77]",-82,-90,-73,-77,-75,-80,-87,-84,-77,-77,240.0,28.0,90000,-1.45169,-0.929458,110.466154,90000,1141274414,222790457,94854,0.570318,0.00578,-0.013885,0.821287,90000,-0.006617,-0.001476,0.003273,0.04534554481506348,114.1274414,22.2790457,94.854,-3.000000106112566e-07,-1.999999987845058e-07,-0.001999999999995339,-0.022199999865080144,-0.030814103868678642,0.038030895220060965,,0.007528332750350504,230.46615400000002,IP15,
