block_index,mac,rssi_header_raw,rssi_val_raw,rssi_val,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10,azimuth,elevation,euler_ts_ms,pitch,roll,yaw,gps_ts_ms,gps_lon_raw,gps_lat_raw,gps_alt_raw,quat_w,quat_x,quat_y,quat_z,vel_ts_ms,vel_x,vel_y,vel_z,time_consumed,lon_deg,lat_deg,alt_m,lon_deg_diff,lat_deg_diff,alt_m_diff,lat_m_diff,lon_m_diff,distance_from_takeoff,distance,vel_abs,earth_azimuth,device_name,phone_rel_azimuth,phone_rel_elevation,phone_drone_lat_m_diff,phone_drone_lon_m_diff,phone_drone_alt_m_diff,phone_drone_distance,score
2053,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-87	-71	-127	-127	-127	-127	-85	-81	-83	-80,"[-87, -71, -127, -127, -127, -127, -85, -81, -83, -80]",-87,-71,-127,-127,-127,-127,-85,-81,-83,-80,180.0,90.0,378923,-1.21201,-0.044698,-172.425089,378723,1142770498,224031304,199320,0.066158,-0.010578,-0.000311,-0.997753,378723,-0.013144,0.021789,2.988296,0.09342408180236816,114.2770498,22.4031304,199.32,-1.790000000312375e-05,-6.700000000137152e-06,80.901,-0.7437000000152238,-1.8369391443464258,80.92526945342878,81.33342792299202,2.9884043415965316,7.574910999999986,IPAD,177.75303546721892,84.08911427162244,-8.369400000006522,0.3283905364465274,-80.901,81.33342792299202,0.9946832694251933
2054,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-88	-71	-127	-127	-127	-127	-87	-80	-90	-81,"[-88, -71, -127, -127, -127, -127, -87, -80, -90, -81]",-88,-71,-127,-127,-127,-127,-87,-80,-90,-81,180.0,90.0,379123,-1.414673,-0.330075,-172.407657,378923,1142770499,224031304,199916,0.066277,-0.012508,0.002055,-0.997721,378923,-0.009846,0.008453,2.98432,0.11076903343200684,114.2770499,22.4031304,199.916,-1.7800000009060568e-05,-6.700000000137152e-06,81.497,-0.7437000000152238,-1.8266769151007825,81.52086142357786,81.92624165052338,2.984348213483976,7.592343000000028,IPAD,177.82318464150381,84.13231429106959,-8.369400000006522,0.31812830720088403,-81.497,81.92624165052338,0.9947606329562337
2055,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-87	-71	-127	-127	-127	-127	-87	-81	-88	-83,"[-87, -71, -127, -127, -127, -127, -87, -81, -88, -83]",-87,-71,-127,-127,-127,-127,-87,-81,-88,-83,180.0,90.0,379523,-1.505879,-0.31327,-172.43416,379323,1142770500,224031304,201110,0.066045,-0.013292,0.001859,-0.997726,379323,-0.00734,0.008313,2.976019,0.045096635818481445,114.27705,22.4031304,201.11,-1.770000000078653e-05,-6.700000000137152e-06,82.69100000000002,-0.7437000000152238,-1.8164146843967888,82.71429098405982,83.11403683422657,2.9760396620223326,7.56583999999998,IPAD,177.893340355571,84.2167240770169,-8.369400000006522,0.30786607649689035,-82.69100000000002,83.11403683422657,0.9949101637901393
2056,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-86	-71	-127	-127	-127	-127	-87	-81	-87	-82,"[-86, -71, -127, -127, -127, -127, -87, -81, -87, -82]",-86,-71,-127,-127,-127,-127,-87,-81,-87,-82,180.0,90.0,379723,-1.382547,0.025533,-172.435827,379523,1142770499,224031304,201706,0.06607,-0.012023,-0.001019,-0.997742,379523,-0.012516,0.005774,2.973111,0.04962444305419922,114.2770499,22.4031304,201.706,-1.7800000009060568e-05,-6.700000000137152e-06,83.28699999999999,-0.7437000000152238,-1.8266769151007825,83.31034874037069,83.70706320842913,2.973142951096196,7.5641729999999825,IPAD,177.82318464150381,84.2575703406125,-8.369400000006522,0.31812830720088403,-83.28699999999999,83.70706320842913,0.9949817471509759
2057,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-90	-74	-127	-127	-127	-127	-92	-84	-89	-85,"[-90, -74, -127, -127, -127, -127, -92, -84, -89, -85]",-90,-74,-127,-127,-127,-127,-92,-84,-89,-85,180.0,90.0,380523,-0.876416,-0.290485,-172.477795,380323,1142770500,224031303,204062,0.065686,-0.007798,0.002027,-0.997808,380323,-0.028125,-0.000744,2.975855,0.1134335994720459,114.27705,22.4031303,204.062,-1.770000000078653e-05,-6.799999997753048e-06,85.64300000000001,-0.7547999997505883,-1.8164146857036707,85.66558547252255,86.05044688679077,2.9759879956387594,7.522204999999985,IPAD,177.89054518371438,84.42213395106977,-8.358300000271157,0.3078660778037723,-85.64300000000001,86.05044688679077,0.9952650230006732
2058,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-91	-75	-127	-127	-127	-127	-91	-85	-92	-87,"[-91, -75, -127, -127, -127, -127, -91, -85, -92, -87]",-91,-75,-127,-127,-127,-127,-91,-85,-92,-87,180.0,90.0,380523,-0.876416,-0.290485,-172.477795,380323,1142770500,224031303,204062,0.065686,-0.007798,0.002027,-0.997808,380323,-0.028125,-0.000744,2.975855,0.041794776916503906,114.27705,22.4031303,204.062,-1.770000000078653e-05,-6.799999997753048e-06,85.64300000000001,-0.7547999997505883,-1.8164146857036707,85.66558547252255,86.05044688679077,2.9759879956387594,7.522204999999985,IPAD,177.89054518371438,84.42213395106977,-8.358300000271157,0.3078660778037723,-85.64300000000001,86.05044688679077,0.9952650230006732
2059,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-93	-76	-127	-127	-127	-127	-91	-86	-80	-81,"[-93, -76, -127, -127, -127, -127, -91, -86, -80, -81]",-93,-76,-127,-127,-127,-127,-91,-86,-80,-81,181.0,89.0,380723,-0.997984,-0.391019,-172.457863,380523,1142770500,224031303,204653,0.065848,-0.008914,0.002831,-0.997786,380523,-0.024983,-0.004099,2.979042,0.048146724700927734,114.27705,22.4031303,204.653,-1.770000000078653e-05,-6.799999997753048e-06,86.234,-0.7547999997505883,-1.8164146857036707,86.2564307246136,86.63866755910085,2.9791495749381234,6.542137000000025,IPAD,177.89054518371438,84.46012292925069,-8.358300000271157,0.3078660778037723,-86.234,86.63866755910085,0.9935119982834595
2060,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-91	-76	-127	-127	-127	-127	-92	-85	-88	-86,"[-91, -76, -127, -127, -127, -127, -92, -85, -88, -86]",-91,-76,-127,-127,-127,-127,-92,-85,-88,-86,180.0,90.0,380923,-1.203961,-0.294022,-172.490513,380723,1142770500,224031302,205252,0.065566,-0.010651,0.001871,-0.99779,380723,-0.016157,-0.000746,2.984824,0.09952664375305176,114.27705,22.4031302,205.252,-1.770000000078653e-05,-6.899999998921658e-06,86.83300000000001,-0.765899999880304,-1.8164146870105526,86.8553732023817,87.23382611329752,2.9848678222227867,7.5094870000000356,IPAD,177.88774258787603,84.50535540370372,-8.347200000141441,0.3078660791106542,-86.83300000000001,87.23382611329752,0.9954051526666166
2061,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-92	-76	-127	-127	-127	-127	-93	-86	-88	-86,"[-92, -76, -127, -127, -127, -127, -93, -86, -88, -86]",-92,-76,-127,-127,-127,-127,-93,-86,-88,-86,181.0,90.0,381123,-0.950241,-0.292568,-172.497453,380923,1142770500,224031302,205847,0.065512,-0.008441,0.002004,-0.997814,380923,-0.013968,0.003541,2.986602,0.05408835411071777,114.27705,22.4031302,205.847,-1.770000000078653e-05,-6.899999998921658e-06,87.42800000000001,-0.765899999880304,-1.8164146870105526,87.45022097813708,87.8261106583061,2.9866367623313352,6.502546999999993,IPAD,177.88774258787603,84.54252322169698,-8.347200000141441,0.3078660791106542,-87.42800000000001,87.8261106583061,0.9954670580841843
2062,IPAD_MAC,A	E	TR4c_1	TR4c_2	TR6c_1	TR6c_2	TR8c_1	TR8c_2	TRc0_1	TRc0_2	TR60_1	TR60_2,N	N	-88	-71	-127	-127	-127	-127	-88	-82	-88	-84,"[-88, -71, -127, -127, -127, -127, -88, -82, -88, -84]",-88,-71,-127,-127,-127,-127,-88,-82,-88,-84,181.0,90.0,381323,-0.98885,-0.363612,-172.289308,381123,1142770500,224031302,206435,0.067318,-0.008823,0.002584,-0.997689,381123,-0.016167,-0.001289,2.986608,0.049544334411621094,114.27705,22.4031302,206.435,-1.770000000078653e-05,-6.899999998921658e-06,88.016,-0.765899999880304,-1.8164146870105526,88.03807256593595,88.41146297491649,2.9866520351514003,6.7106919999999946,IPAD,177.88774258787603,84.57876452178736,-8.347200000141441,0.3078660791106542,-88.016,88.41146297491649,0.9955270169544793
